goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      72	   1588678 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      74	   1597383 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      73	   1590308 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      69	   1592214 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15993750 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15919738 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15875423 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15907405 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15941792 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15885559 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	20.350s
