goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkAppend-expand.txt,,BenchmarkAppend-for.txt,,,,BenchmarkAppend-for_index.txt,,,,BenchmarkAppend-for_prealloc.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Append/size=1000_subset=100000-10,3.089e-05,3%,3.1761500000000004e-05,8%,~,p=0.065 n=6,2.6617e-05,3%,-13.83%,p=0.002 n=6,4.0316e-05,4%,+30.51%,p=0.002 n=6
Append/size=5000_subset=100000-10,3.08705e-05,12%,3.4051e-05,20%,+10.30%,p=0.026 n=6,2.958e-05,2%,-4.18%,p=0.002 n=6,4.3159500000000006e-05,2%,+39.81%,p=0.002 n=6
Append/size=10000_subset=100000-10,3.1714e-05,3%,3.71055e-05,5%,+17.00%,p=0.002 n=6,3.1453500000000006e-05,5%,~,p=1.000 n=6,4.86065e-05,6%,+53.27%,p=0.002 n=6
Append/size=50000_subset=100000-10,4.3281999999999997e-05,6%,0.00010946950000000001,1%,+152.92%,p=0.002 n=6,6.1803e-05,4%,+42.79%,p=0.002 n=6,7.1362e-05,5%,+64.88%,p=0.002 n=6
Append/size=100000_subset=100000-10,5.9442000000000004e-05,4%,0.00026402650000000006,1%,+344.17%,p=0.002 n=6,8.044000000000001e-05,3%,+35.33%,p=0.002 n=6,9.844850000000001e-05,3%,+65.62%,p=0.002 n=6
Append/size=500000_subset=100000-10,0.0001350015,10%,0.0007536910000000001,9%,+458.28%,p=0.002 n=6,0.0002520635,1%,+86.71%,p=0.002 n=6,0.0002001155,3%,+48.23%,p=0.002 n=6
Append/size=1000000_subset=100000-10,0.00026541300000000004,4%,0.0017011575000000002,15%,+540.95%,p=0.002 n=6,0.0004363985,3%,+64.42%,p=0.002 n=6,0.000372325,2%,+40.28%,p=0.002 n=6
Append/size=10_subset=500000-10,0.0001359135,10%,0.0001570835,8%,+15.58%,p=0.009 n=6,0.00011427250000000001,12%,-15.92%,p=0.002 n=6,0.00011877950000000002,4%,-12.61%,p=0.002 n=6
Append/size=50_subset=500000-10,0.00014328650000000002,12%,0.00013945250000000001,14%,~,p=0.394 n=6,0.00011901350000000002,12%,-16.94%,p=0.002 n=6,0.0001250335,6%,-12.74%,p=0.002 n=6
Append/size=100_subset=500000-10,0.0001370775,7%,0.0001459435,7%,+6.47%,p=0.015 n=6,0.00011642950000000001,20%,-15.06%,p=0.041 n=6,0.0001206065,4%,-12.02%,p=0.002 n=6
Append/size=500_subset=500000-10,0.0001427855,13%,0.0001473655,6%,~,p=0.310 n=6,0.00011929250000000002,5%,-16.45%,p=0.002 n=6,0.0001228175,5%,-13.98%,p=0.002 n=6
Append/size=1000_subset=500000-10,0.000140426,12%,0.00015271750000000003,4%,+8.75%,p=0.041 n=6,0.00011299000000000001,9%,-19.54%,p=0.002 n=6,0.00011464800000000002,21%,-18.36%,p=0.009 n=6
Append/size=5000_subset=500000-10,0.000145973,6%,0.000143074,8%,~,p=0.310 n=6,0.00011691200000000001,14%,-19.91%,p=0.002 n=6,0.00011857250000000001,8%,-18.77%,p=0.002 n=6
Append/size=10000_subset=500000-10,0.0001402765,15%,0.00015386650000000001,8%,+9.69%,p=0.026 n=6,0.00011909100000000002,11%,-15.10%,p=0.002 n=6,0.000126689,3%,-9.69%,p=0.002 n=6
Append/size=50000_subset=500000-10,0.0001453475,15%,0.00016170700000000003,11%,+11.26%,p=0.041 n=6,0.000147734,7%,~,p=0.485 n=6,0.000140509,3%,~,p=0.132 n=6
Append/size=100000_subset=500000-10,0.0001379895,20%,0.000179836,9%,+30.33%,p=0.002 n=6,0.0001695885,9%,+22.90%,p=0.004 n=6,0.0001527115,9%,~,p=0.093 n=6
Append/size=500000_subset=500000-10,0.00025972800000000003,7%,0.0009200590000000001,5%,+254.24%,p=0.002 n=6,0.000331955,5%,+27.81%,p=0.002 n=6,0.0002911735,3%,+12.11%,p=0.002 n=6
Append/size=1000000_subset=500000-10,0.00037400400000000005,4%,0.0015236115,5%,+307.38%,p=0.002 n=6,0.000525647,3%,+40.55%,p=0.002 n=6,0.0004688795,2%,+25.37%,p=0.002 n=6
Append/size=10_subset=1000000-10,0.0002703345,5%,0.0002647505,5%,~,p=0.310 n=6,0.00022781450000000002,7%,-15.73%,p=0.002 n=6,0.00023955900000000003,6%,-11.38%,p=0.002 n=6
Append/size=50_subset=1000000-10,0.000262787,7%,0.000282075,10%,+7.34%,p=0.041 n=6,0.00022728850000000003,8%,-13.51%,p=0.002 n=6,0.00023697950000000002,4%,-9.82%,p=0.002 n=6
Append/size=100_subset=1000000-10,0.0002514535,14%,0.0002796785,5%,~,p=0.065 n=6,0.000233025,3%,-7.33%,p=0.004 n=6,0.000235299,5%,-6.42%,p=0.026 n=6
Append/size=500_subset=1000000-10,0.00025719450000000004,12%,0.00027771750000000003,9%,~,p=0.180 n=6,0.00022501850000000001,7%,-12.51%,p=0.002 n=6,0.0002376885,2%,-7.58%,p=0.002 n=6
Append/size=1000_subset=1000000-10,0.000258158,11%,0.0002740705,6%,~,p=0.180 n=6,0.000232265,6%,-10.03%,p=0.002 n=6,0.00024040250000000003,5%,-6.88%,p=0.002 n=6
Append/size=5000_subset=1000000-10,0.000270059,6%,0.00026828750000000004,10%,~,p=0.937 n=6,0.00022885850000000003,8%,-15.26%,p=0.002 n=6,0.00024370499999999999,5%,-9.76%,p=0.002 n=6
Append/size=10000_subset=1000000-10,0.0002624595,7%,0.000270421,7%,~,p=0.310 n=6,0.0002437915,5%,-7.11%,p=0.015 n=6,0.0002476195,4%,-5.65%,p=0.026 n=6
Append/size=50000_subset=1000000-10,0.00027278000000000003,6%,0.00028421049999999997,5%,~,p=0.093 n=6,0.00026316200000000005,3%,-3.53%,p=0.041 n=6,0.00025403100000000005,7%,-6.87%,p=0.015 n=6
Append/size=100000_subset=1000000-10,0.000279953,5%,0.0003057585,1%,+9.22%,p=0.002 n=6,0.00028223150000000004,5%,~,p=1.000 n=6,0.00027296300000000004,1%,~,p=0.065 n=6
