goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	    6090	     20622 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	    5192	     20571 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	    6007	     20678 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	    5944	     20763 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	    6063	     20368 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	    1056	    114974 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	    1023	    111143 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	    1104	    104671 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	    1149	    108474 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	    1108	    115853 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	    1059	    117845 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	     502	    236607 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	     460	    242585 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	     548	    219788 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	     556	    214640 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	     549	    214933 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	     549	    218777 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	   10000	     10439 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	   10000	     10530 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	   10000	     10321 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	   10000	     10497 ns/op	       0 B/op	       0 allocs/op
