goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	    9320	     14270 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	    9662	     14243 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	    9328	     14185 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	    9444	     14166 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	    9477	     14042 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	    2007	     61183 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	    1899	     59488 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	    2054	     59757 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	    2035	     60394 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	    2030	     59067 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	    2115	     59753 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2280	     59499 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2168	     60187 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2235	     59662 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2232	     60062 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2248	     59580 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2214	     59353 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    2199	     60227 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    2253	     60110 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    2324	     61098 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    1742	     60031 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    2217	     60034 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    2012	     60417 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	    2013	     62888 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	    2019	     62977 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	    1791	     63406 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	    1892	     63180 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	    1777	     62464 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	    2048	     62720 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	    2094	     63385 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	    1993	     64096 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	    1851	     62884 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	    1716	     67669 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	    1848	     63595 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	    1659	     65151 ns/op	  147776 B/op	      17 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	     878	    134221 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	     838	    133068 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	     934	    131737 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	     866	    134671 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	     909	    130841 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	     919	    132633 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	     956	    130390 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	     924	    129310 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	     897	    129084 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	     970	    130853 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	     913	    129686 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	     928	    131067 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     973	    129556 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     928	    130946 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     912	    131693 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     975	    129299 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     940	    129096 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     927	    131542 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	     949	    136238 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	     825	    135261 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	     870	    133895 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	     903	    133720 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	     895	    134195 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	     969	    135016 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	     964	    133694 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	     918	    137294 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	     860	    135750 ns/op	  295553 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	     860	    138552 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	     883	    138327 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	     834	    138436 ns/op	  295552 B/op	      33 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	     160	    739859 ns/op	 1182216 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	     159	    750275 ns/op	 1182213 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	     164	    733528 ns/op	 1182215 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	     163	    734830 ns/op	 1182217 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	     160	    744261 ns/op	 1182213 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	     160	    741356 ns/op	 1182212 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     159	    754850 ns/op	 1182217 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     162	    744607 ns/op	 1182213 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     153	    769431 ns/op	 1182213 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     156	    761632 ns/op	 1182211 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     154	    758159 ns/op	 1182216 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     156	    764663 ns/op	 1182211 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	     158	    754684 ns/op	 1182216 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	     162	    736459 ns/op	 1182215 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	     163	    737893 ns/op	 1182212 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	     156	    757427 ns/op	 1182215 B/op	     129 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	     158	    757629 ns/op	 1182212 B/op	     129 allocs/op
