goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=100_subset=5000-10      	    1653	     73106 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1570	     73119 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1657	     72957 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1651	     72965 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1669	     72942 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1654	     73080 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	     332	    359541 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	     333	    359463 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	     333	    359172 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	     334	    359087 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	     333	    359115 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	     333	    359458 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	     164	    726312 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	     164	    728056 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	     164	    728556 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	     164	    728484 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	     164	    728469 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	     164	    728220 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	      51	   2222486 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	      54	   2229695 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	      54	   2225318 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	      54	   2229546 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	      52	   2223284 ns/op	       0 B/op	       0 allocs/op
