goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=5000_subset=100-10      	    6907	     17411 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    6931	     17440 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    6958	     17410 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    6939	     17540 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    6972	     17413 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    6114	     17458 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    3513	     33728 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    3590	     33685 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    3558	     33777 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    3582	     33766 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    3529	     33774 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    3526	     33731 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   16068	      7450 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   16248	      7405 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   16243	      7414 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   16195	      7417 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   16178	      7445 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   15997	      7457 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   15601	      7692 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   15554	      7687 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   15736	      7643 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   15654	      7679 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   15658	      7678 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   15604	      7709 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   15445	      7734 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   15490	      7722 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   15560	      7723 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   15552	      7727 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   15560	      7703 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   15522	      7734 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   13182	      9112 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   13164	      9109 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   13206	      9080 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   13110	      9154 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   13186	      9112 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   13185	      9103 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	   10000	     10699 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	   10000	     10696 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	   10000	     10688 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	   10000	     10634 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	   10000	     10721 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	   10000	     10626 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    4920	     23795 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    5038	     23746 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    5116	     23769 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    4984	     23820 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    5025	     23726 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    5113	     23720 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    2871	     40169 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    2949	     40136 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    3004	     40127 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    3001	     40116 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    2998	     40089 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    2980	     40124 ns/op	   36944 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    6528	     17938 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    6631	     18392 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    6584	     17695 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    7095	     17330 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    6825	     17317 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    6847	     17219 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    6439	     17319 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    7021	     17215 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    6276	     17298 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    6723	     17350 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    6885	     17351 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    7021	     19222 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    6885	     18004 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    7173	     17605 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    7444	     16983 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    7144	     17263 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    7059	     17594 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    6926	     17568 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    6554	     18882 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    6249	     21781 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    6667	     18928 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    6615	     18694 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    6819	     18542 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    6889	     18496 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    5734	     19978 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    5896	     19963 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    5757	     20096 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    6082	     19898 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    6051	     19856 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    6162	     19796 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    3684	     32167 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    3639	     32145 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    3663	     32082 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    3621	     32558 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    3667	     32361 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    3739	     32352 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    2304	     49677 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    2394	     49362 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    2451	     49297 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    2425	     49371 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    2403	     49320 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    2427	     49422 ns/op	   73888 B/op	      10 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1234	     96713 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1238	     96908 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1238	     97256 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1246	     97173 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1251	     96682 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1250	     96802 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1228	     98036 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1237	     97736 ns/op	  295553 B/op	      34 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1237	     97053 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1246	     97538 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1228	     97556 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1209	     98512 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1186	     99657 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1214	     98887 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1221	     98783 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1239	     98442 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1213	     99072 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1210	     98804 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1197	     99398 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1210	     98662 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1198	     98888 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1212	     99449 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1216	     99540 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1186	     99831 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1189	    101005 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1189	    100681 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1182	    100835 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1185	    100866 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1201	    101627 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1186	    101164 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	    1036	    114401 ns/op	  295553 B/op	      34 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	    1045	    114654 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	    1075	    114262 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	    1057	    114673 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	    1040	    114394 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	    1050	    114110 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     894	    131625 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     908	    131790 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     907	    131900 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     921	    131961 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     915	    131803 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     920	    132061 ns/op	  295552 B/op	      34 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     550	    216852 ns/op	  591105 B/op	      66 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     560	    215666 ns/op	  591104 B/op	      66 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     562	    216128 ns/op	  591105 B/op	      66 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     553	    215961 ns/op	  591105 B/op	      66 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     555	    217009 ns/op	  591105 B/op	      66 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     558	    215301 ns/op	  591106 B/op	      66 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	     550	    214816 ns/op	  591105 B/op	      66 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	     560	    220353 ns/op	  591105 B/op	      66 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	     548	    215242 ns/op	  591106 B/op	      66 allocs/op
