goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   25086	      4838 ns/op	   16384 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   24874	      4843 ns/op	   16384 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   25052	      4809 ns/op	   16384 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   25093	      4796 ns/op	   16384 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2558	     47910 ns/op	  163840 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2526	     47942 ns/op	  163840 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2533	     47972 ns/op	  163840 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2479	     48392 ns/op	  163840 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2546	     47909 ns/op	  163840 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2515	     47737 ns/op	  163840 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     249	    478904 ns/op	 1638404 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     248	    482365 ns/op	 1638404 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     249	    479015 ns/op	 1638402 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     250	    479782 ns/op	 1638401 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     250	    478147 ns/op	 1638404 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     244	    484327 ns/op	 1638402 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      24	   4777686 ns/op	16384023 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      24	   4777189 ns/op	16384032 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      25	   4780882 ns/op	16384022 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      24	   4809875 ns/op	16384051 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      24	   4779193 ns/op	16384037 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      25	   4807835 ns/op	16384035 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    6588	     18910 ns/op	   65536 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    6715	     18804 ns/op	   65536 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    6432	     18833 ns/op	   65536 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    6706	     18917 ns/op	   65536 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    6652	     18842 ns/op	   65536 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    6571	     18839 ns/op	   65536 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     624	    188843 ns/op	  655362 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     632	    188300 ns/op	  655361 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     633	    189048 ns/op	  655361 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     637	    189378 ns/op	  655361 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     638	    188620 ns/op	  655362 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     636	    189125 ns/op	  655362 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      63	   2296439 ns/op	 6553633 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      61	   1935286 ns/op	 6553614 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      64	   1890737 ns/op	 6553607 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      66	   1900505 ns/op	 6553618 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      62	   1888175 ns/op	 6553612 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      62	   1881361 ns/op	 6553628 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       6	  18954944 ns/op	65536186 B/op	    1001 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       6	  18896778 ns/op	65536130 B/op	    1001 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       6	  18776208 ns/op	65536224 B/op	    1002 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       6	  19176930 ns/op	65536130 B/op	    1001 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       6	  18954306 ns/op	65536130 B/op	    1001 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       6	  18902299 ns/op	65536168 B/op	    1001 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	20.454s
