goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,assets/BenchmarkConcat-builder.txt,,assets/BenchmarkConcat-builder_pool.txt,,,,assets/BenchmarkConcat-join.txt,,,,assets/BenchmarkConcat-plus.txt,,,,assets/BenchmarkConcat-sprintf.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Concat/size=50_iterations=500-10,210273,0%,210381,0%,+0.05%,p=0.000 n=10,1.27696795e+07,0%,+5972.90%,p=0.000 n=10,2.5539122e+07,0%,+12045.70%,p=0.000 n=10,1.2814756e+07,0%,+5994.34%,p=0.000 n=10
Concat/size=50_iterations=1000-10,382306,0%,382500,0%,+0.05%,p=0.000 n=10,5.06205425e+07,0%,+13140.84%,p=0.000 n=10,1.01239453e+08,0%,+26381.26%,p=0.000 n=10,7.76888175e+07,0%,+20221.11%,p=0.000 n=10
Concat/size=50_iterations=5000-10,1.979761e+06,0%,1.980877e+06,0%,+0.06%,p=0.000 n=10,1.107029299e+09,0%,+55817.32%,p=0.000 n=10,2.2140425185e+09,0%,+111733.83%,p=0.000 n=10,2.202981766e+09,0%,+111175.14%,p=0.000 n=10
Concat/size=100_iterations=10-10,6912,0%,6915,0%,+0.04%,p=0.000 n=10,10880,0%,+57.41%,p=0.000 n=10,21568,0%,+212.04%,p=0.000 n=10,11196,0%,+61.98%,p=0.000 n=10
Concat/size=100_iterations=50-10,45168,0%,45190,0%,+0.05%,p=0.000 n=10,266610,0%,+490.26%,p=0.000 n=10,533012,0%,+1080.07%,p=0.000 n=10,269496.5,0%,+496.65%,p=0.000 n=10
Concat/size=100_iterations=100-10,83201,0%,83241,0%,+0.05%,p=0.000 n=10,1.0194e+06,0%,+1125.23%,p=0.000 n=10,2.038608e+06,0%,+2350.22%,p=0.000 n=10,1.02861e+06,0%,+1136.30%,p=0.000 n=10
Concat/size=100_iterations=500-10,382210,0%,382408,0%,+0.05%,p=0.000 n=10,2.5704374e+07,0%,+6625.20%,p=0.000 n=10,5.14084425e+07,0%,+13350.31%,p=0.000 n=10,4.01458275e+07,0%,+10403.60%,p=0.000 n=10
Concat/size=100_iterations=1000-10,906501,0%,906966,0%,+0.05%,p=0.000 n=10,9.96573585e+07,0%,+10893.63%,p=0.000 n=10,1.993144255e+08,0%,+21887.23%,p=0.000 n=10,1.901786965e+08,0%,+20879.42%,p=0.000 n=10
Concat/size=100_iterations=5000-10,5.2400915e+06,0%,5.2414195e+06,0%,+0.03%,p=0.000 n=10,2.407950668e+09,0%,+45852.45%,p=0.000 n=10,4.815877648e+09,0%,+91804.46%,p=0.000 n=10,4.874605028e+09,0%,+92925.19%,p=0.000 n=10
Concat/size=500_iterations=10-10,55936,0%,55963,0%,+0.05%,p=0.000 n=10,83072,0%,+48.51%,p=0.000 n=10,164737,0%,+194.51%,p=0.000 n=10,83739.5,0%,+49.71%,p=0.000 n=10
Concat/size=500_iterations=50-10,278402,0%,278531,0%,+0.05%,p=0.000 n=10,1.9088775e+06,0%,+585.66%,p=0.000 n=10,3.8158385e+06,0%,+1270.62%,p=0.000 n=10,2.4943845e+06,0%,+795.97%,p=0.000 n=10
Concat/size=500_iterations=100-10,679812,0%,680133,0%,+0.05%,p=0.000 n=10,7.389366e+06,0%,+986.97%,p=0.000 n=10,1.47773175e+07,0%,+2073.74%,p=0.000 n=10,1.46990725e+07,0%,+2062.23%,p=0.000 n=10
Concat/size=500_iterations=500-10,3.2357225e+06,0%,3.2368185e+06,0%,+0.03%,p=0.000 n=10,1.78078532e+08,0%,+5403.52%,p=0.000 n=10,3.561555805e+08,0%,+10906.99%,p=0.000 n=10,3.918484e+08,0%,+12010.07%,p=0.000 n=10
Concat/size=500_iterations=1000-10,6.6354235e+06,0%,6.636716e+06,0%,+0.02%,p=0.000 n=10,7.00197207e+08,0%,+10452.41%,p=0.000 n=10,1.400391929e+09,0%,+21004.79%,p=0.000 n=10,1.5457520305e+09,0%,+23195.45%,p=0.000 n=10
Concat/size=500_iterations=5000-10,4.16971975e+07,0%,4.16986115e+07,0%,+0.00%,p=0.000 n=10,1.759893272e+10,0%,+42106.51%,p=0.000 n=10,3.5197860488e+10,0%,+84313.01%,p=0.000 n=10,3.8969915148e+10,0%,+93359.31%,p=0.000 n=10
Concat/size=1000_iterations=10-10,139393,0%,139457.5,0%,+0.05%,p=0.000 n=10,170881,0%,+22.59%,p=0.000 n=10,338690,0%,+142.97%,p=0.000 n=10,172404,0%,+23.68%,p=0.000 n=10
Concat/size=1000_iterations=50-10,662404.5,0%,662695.5,0%,+0.04%,p=0.000 n=10,3.890074e+06,0%,+487.27%,p=0.000 n=10,7.7770785e+06,0%,+1074.07%,p=0.000 n=10,8.5074825e+06,0%,+1184.33%,p=0.000 n=10
Concat/size=1000_iterations=100-10,1.52385e+06,0%,1.524426e+06,0%,+0.04%,p=0.000 n=10,1.4924745e+07,0%,+879.41%,p=0.000 n=10,2.9846472e+07,0%,+1858.62%,p=0.000 n=10,3.54346395e+07,0%,+2225.34%,p=0.000 n=10
Concat/size=1000_iterations=500-10,8.3711045e+06,0%,8.3722865e+06,0%,+0.01%,p=0.000 n=10,3.642734005e+08,0%,+4251.56%,p=0.000 n=10,7.2854624e+08,0%,+8603.11%,p=0.000 n=10,8.86965482e+08,0%,+10495.56%,p=0.000 n=10
Concat/size=1000_iterations=1000-10,1.67773955e+07,0%,1.6778585e+07,0%,+0.01%,p=0.000 n=10,1.4425064805e+09,0%,+8497.92%,p=0.000 n=10,2.885007168e+09,0%,+17095.80%,p=0.000 n=10,3.512698812e+09,0%,+20837.09%,p=0.000 n=10
Concat/size=1000_iterations=5000-10,8.1959866e+07,0%,8.19612825e+07,0%,+0.00%,p=0.000 n=10,3.6377731344e+10,0%,+44284.81%,p=0.000 n=10,7.2755455248e+10,0%,+88669.61%,p=0.000 n=10,8.8874298792e+10,0%,+108336.36%,p=0.000 n=10
geomean,238826.51528199445,,238911.68187444354,,+0.04%,,6.629322780452609e+06,,+2675.79%,,1.3222221958510965e+07,,+5436.33%,,9.627566120680232e+06,,+3931.20%,

