goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=500000_subset=100-10    	     646	    183772 ns/op	 4005889 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     322	    362874 ns/op	 8003587 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     328	    358422 ns/op	 8003588 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     336	    355617 ns/op	 8003589 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     340	    354529 ns/op	 8003589 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     340	    353903 ns/op	 8003588 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     339	    353736 ns/op	 8003589 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  282429	       369.4 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  337761	       366.8 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  340200	       368.4 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  336086	       369.9 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  331453	       368.0 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  333882	       405.1 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  359900	       339.3 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  352495	       339.9 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  360724	       337.0 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  351906	       339.2 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  357483	       338.4 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  365950	       339.6 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  365936	       342.1 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  349200	       341.5 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  344307	       340.0 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  351866	       342.6 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  359644	       340.1 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  360829	       342.8 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  162434	       759.3 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  157776	       765.4 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  159462	       760.4 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  162481	       756.4 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  161208	       758.1 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  161512	       758.9 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  134205	       903.2 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  131277	       907.1 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  135026	       901.4 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  133369	       901.9 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  129981	       908.9 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  132051	       905.8 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   35317	      3408 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   35188	      3411 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   35350	      3414 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   35157	      3426 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   35226	      3429 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   34711	      3460 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   19071	      6287 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   19131	      6259 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   19146	      6267 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   19179	      6264 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   19246	      6246 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   19176	      6279 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4316	     26365 ns/op	  409602 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4616	     26219 ns/op	  409601 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4767	     26634 ns/op	  409601 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4323	     26439 ns/op	  409602 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4544	     26478 ns/op	  409602 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4683	     26168 ns/op	  409602 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    1918	     65160 ns/op	  811020 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    1983	     62937 ns/op	  811020 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    2024	     64021 ns/op	  811019 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    1801	     63492 ns/op	  811020 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    2008	     61923 ns/op	  811019 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    1981	     62445 ns/op	  811021 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     646	    183623 ns/op	 4005892 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     656	    187117 ns/op	 4005890 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     674	    177819 ns/op	 4005889 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     666	    177564 ns/op	 4005890 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     660	    177695 ns/op	 4005889 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     668	    178352 ns/op	 4005889 B/op	       1 allocs/op
