goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkConcat/size=1000_iterations=1000-10     	     121	    978662 ns/op	16777391 B/op	      26 allocs/op
BenchmarkConcat/size=1000_iterations=1000-10     	     127	    960042 ns/op	16777394 B/op	      26 allocs/op
BenchmarkConcat/size=1000_iterations=5000-10     	      27	   4139616 ns/op	81959878 B/op	      32 allocs/op
BenchmarkConcat/size=1000_iterations=5000-10     	      30	   3913617 ns/op	81959841 B/op	      32 allocs/op
BenchmarkConcat/size=1000_iterations=5000-10     	      30	   3885088 ns/op	81959841 B/op	      32 allocs/op
BenchmarkConcat/size=1000_iterations=5000-10     	      28	   3955186 ns/op	81959860 B/op	      32 allocs/op
BenchmarkConcat/size=1000_iterations=5000-10     	      27	   3908086 ns/op	81959841 B/op	      32 allocs/op
BenchmarkConcat/size=1000_iterations=5000-10     	      31	   3839776 ns/op	81959847 B/op	      32 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	22.119s
