goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7453	     16426 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     735	    163759 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     742	    163564 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     721	    165501 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     728	    164847 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     740	    165404 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     724	    165170 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      70	   1641184 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      73	   1657937 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      74	   1651751 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      70	   1645476 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      74	   1656430 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      75	   1644207 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  16507720 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  16395119 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  16517042 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       6	  17134861 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       6	  16737493 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  16024250 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	20.182s
