goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=128_length=5000-10     	     667	    172220 ns/op	  647198 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     832	    192531 ns/op	  647202 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     608	    207876 ns/op	  647206 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     280	    390301 ns/op	 1286174 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     325	    324488 ns/op	 1286172 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     435	    239293 ns/op	 1286170 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     586	    216273 ns/op	 1286176 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     609	    270183 ns/op	 1286179 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     534	    313493 ns/op	 1286180 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	      92	   1269347 ns/op	 6406172 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     140	    842786 ns/op	 6406170 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     148	    805932 ns/op	 6406168 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     152	    837219 ns/op	 6406169 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     132	    887885 ns/op	 6406171 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     156	    756336 ns/op	 6406170 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      76	   1480205 ns/op	12804120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      82	   1458051 ns/op	12804122 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      81	   1491948 ns/op	12804120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      82	   1499092 ns/op	12804125 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      75	   1522163 ns/op	12804120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      81	   1485339 ns/op	12804121 B/op	       2 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	20.145s
