goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=5000_subset=100-10      	   14106	      8508 ns/op	  125952 B/op	       8 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	    5643	     21844 ns/op	  355329 B/op	      11 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	    5666	     22494 ns/op	  355329 B/op	      11 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	    6008	     22417 ns/op	  355329 B/op	      11 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	    4952	     21777 ns/op	  355329 B/op	      11 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	    5310	     22396 ns/op	  355330 B/op	      11 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	    5680	     22011 ns/op	  355329 B/op	      11 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    1053	    114378 ns/op	 1952783 B/op	      17 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    1046	    114783 ns/op	 1952786 B/op	      17 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    1064	    119957 ns/op	 1952783 B/op	      17 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    1062	    114983 ns/op	 1952783 B/op	      17 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    1068	    112723 ns/op	 1952781 B/op	      17 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    1069	    113873 ns/op	 1952787 B/op	      17 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	     471	    256506 ns/op	 4099115 B/op	      20 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	     445	    261298 ns/op	 4099110 B/op	      20 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	     433	    262560 ns/op	 4099114 B/op	      20 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	     464	    257792 ns/op	 4099112 B/op	      20 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	     451	    235028 ns/op	 4099106 B/op	      20 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	     435	    265203 ns/op	 4099094 B/op	      20 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     112	   1080033 ns/op	21081168 B/op	      27 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     100	   1068540 ns/op	21081142 B/op	      27 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     100	   1101919 ns/op	21081135 B/op	      27 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     100	   1074530 ns/op	21081136 B/op	      27 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     100	   1167950 ns/op	21081140 B/op	      27 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     100	   1163287 ns/op	21081139 B/op	      27 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	      57	   2020211 ns/op	41675850 B/op	      30 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	      70	   1903818 ns/op	41675833 B/op	      30 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	      70	   1945612 ns/op	41675828 B/op	      30 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	      66	   1756385 ns/op	41675842 B/op	      30 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	      63	   1711126 ns/op	41675847 B/op	      30 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	      62	   1697442 ns/op	41675835 B/op	      30 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  294499	       383.6 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  307068	       392.3 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  313270	       401.0 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  303896	       397.8 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  319995	       400.4 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  319010	       372.6 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  320822	       390.1 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  308172	       393.8 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  296787	       425.5 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  306174	       428.7 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  301971	       394.9 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  308886	       396.1 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  289510	       407.1 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  297237	       406.5 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  304922	       404.1 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  304078	       407.4 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  302253	       405.2 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  294673	       407.4 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  107655	      1131 ns/op	   17024 B/op	       2 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  104611	      1135 ns/op	   17024 B/op	       2 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  107796	      1126 ns/op	   17024 B/op	       2 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  104500	      1134 ns/op	   17024 B/op	       2 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  107426	      1141 ns/op	   17024 B/op	       2 allocs/op
BenchmarkAppend/size=500_subset=500-10       	   95990	      1149 ns/op	   17024 B/op	       2 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	   57170	      2074 ns/op	   31360 B/op	       3 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	   58614	      2069 ns/op	   31360 B/op	       3 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	   58005	      2073 ns/op	   31360 B/op	       3 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	   58093	      2084 ns/op	   31360 B/op	       3 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	   58599	      2068 ns/op	   31360 B/op	       3 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	   58584	      2058 ns/op	   31360 B/op	       3 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   10000	     11137 ns/op	  177408 B/op	       7 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   10000	     11148 ns/op	  177408 B/op	       7 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   10000	     10746 ns/op	  177409 B/op	       7 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   10000	     10998 ns/op	  177408 B/op	       7 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   10000	     11175 ns/op	  177408 B/op	       7 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   10000	     11218 ns/op	  177408 B/op	       7 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	    5398	     21302 ns/op	  349441 B/op	       9 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	    5206	     21440 ns/op	  349442 B/op	       9 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	    5635	     21354 ns/op	  349441 B/op	       9 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	    6034	     21363 ns/op	  349441 B/op	       9 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	    5754	     21134 ns/op	  349441 B/op	       9 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	    5521	     21236 ns/op	  349441 B/op	       9 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    1124	    104960 ns/op	 1946887 B/op	      15 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    1150	    104755 ns/op	 1946887 B/op	      15 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    1150	    105322 ns/op	 1946886 B/op	      15 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    1134	    105210 ns/op	 1946888 B/op	      15 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    1138	    104620 ns/op	 1946888 B/op	      15 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    1159	    105151 ns/op	 1946888 B/op	      15 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	     554	    215272 ns/op	 4093196 B/op	      18 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	     568	    216157 ns/op	 4093199 B/op	      18 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	     547	    215638 ns/op	 4093199 B/op	      18 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	     547	    216883 ns/op	 4093198 B/op	      18 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	     562	    214901 ns/op	 4093200 B/op	      18 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	     534	    215426 ns/op	 4093201 B/op	      18 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     126	    959842 ns/op	21075268 B/op	      25 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     128	    949322 ns/op	21075250 B/op	      25 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     121	    991976 ns/op	21075270 B/op	      25 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     100	   1020490 ns/op	21075254 B/op	      25 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     100	   1020823 ns/op	21075256 B/op	      25 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     100	   1000449 ns/op	21075250 B/op	      25 allocs/op
BenchmarkAppend/size=1000000_subset=500-10   	      66	   1779543 ns/op	41669955 B/op	      28 allocs/op
