goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=1000_subset=500-10      	    7330	     16162 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    7521	     16145 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    7248	     16119 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    7534	     16132 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    7605	     16080 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    7615	     16109 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    2440	     49625 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    2442	     49399 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    2442	     49444 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    2432	     49401 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    2445	     49381 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	    2371	     49453 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    1312	     91473 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    1318	     91554 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    1323	     91503 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    1328	     91426 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    1309	     91480 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	    1314	     91284 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    6980	     17293 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    7204	     17339 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    7095	     17310 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    7028	     17345 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    7147	     17354 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	    7168	     17327 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    6801	     17762 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    6907	     17700 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    7048	     17726 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    6961	     17692 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    7075	     17759 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	    7015	     17741 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    6471	     18406 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    6733	     18257 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    6751	     18261 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    6868	     18248 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    6835	     18279 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    6784	     18407 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    5430	     22147 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    5506	     22202 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    5418	     22132 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    5538	     22078 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    5485	     22081 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    5582	     22083 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    4471	     26206 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    4698	     26228 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    4707	     26149 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    4591	     26199 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    4669	     26159 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    4682	     26161 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    1909	     62966 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    1942	     62559 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    1948	     62540 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    1910	     62635 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    1935	     62651 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	    1922	     62777 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    1071	    109510 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    1100	    109050 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    1096	    109034 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    1105	    109123 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    1110	    109040 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	    1114	    109136 ns/op	   16384 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1088	    105868 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1136	    105036 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1132	    104901 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1135	    104892 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1141	    105097 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	    1142	    105243 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1058	    105401 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1159	    104230 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1148	    103981 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1143	    104181 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1132	    104398 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    1150	    104520 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1002	    107983 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1140	    105528 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1141	    105344 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1122	    105830 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1108	    105980 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=5000-10      	    1137	    105845 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1032	    111441 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1101	    109570 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1096	    109438 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1107	    109467 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1076	    109732 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=5000-10      	    1092	    109750 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	     872	    119223 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1035	    115914 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1046	    115947 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1032	    115906 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1028	    116121 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=5000-10     	    1017	    116041 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	     427	    264777 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	     475	    251626 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	     468	    254358 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	     483	    248886 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	     481	    249611 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=5000-10     	     482	    249428 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     290	    396733 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     309	    382193 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     315	    379040 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     318	    376115 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     325	    372936 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	     320	    374135 ns/op	   81920 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     295	    352972 ns/op	  163840 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     393	    297630 ns/op	  163840 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     427	    273681 ns/op	  163840 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     433	    274981 ns/op	  163840 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     422	    276043 ns/op	  163840 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	     454	    266893 ns/op	  163840 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	     300	    344985 ns/op	  163840 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	     409	    286786 ns/op	  163840 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	     423	    281454 ns/op	  163840 B/op	       2 allocs/op
