goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       102.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	  113062	      1050 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	  113248	      1047 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	  113350	      1048 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	  114225	      1042 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	  114477	      1045 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	  114265	      1050 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8910	     13096 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    9704	     17139 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    9528	     12612 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    9406	     12498 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    9630	     12442 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    9780	     12351 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     813	    211138 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     829	    137676 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     872	    131979 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     918	    130146 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     919	    137092 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     849	    133317 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	10218708	        12.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9826130	        12.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9731734	        12.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9706282	        12.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9757617	        12.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9602112	        12.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       110.0 ns/op	       0 B/op	       0 allocs/op
