goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=128_length=1000-10      	   81390	      1465 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8756	     13393 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8882	     13351 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8946	     13402 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8904	     13385 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8985	     13382 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8834	     13424 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     825	    142274 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     775	    143662 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     849	    140983 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     787	    142236 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     846	    140192 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     860	    139855 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9981250	        12.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9215822	        12.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9657558	        12.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9644138	        12.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9766584	        12.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9805456	        12.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       110.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       109.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       109.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       109.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       109.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	  967286	       109.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   93436	      1300 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   92707	      1304 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   92767	      1297 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   92527	      1298 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   92066	      1300 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   92418	      1299 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8290	     14382 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8385	     14336 ns/op	       0 B/op	       0 allocs/op
