goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=256_length=100-10       	  140238	       867.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	  139369	       859.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	  139384	       881.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   13760	      8718 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   13813	      8697 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   13766	      8712 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   13530	     11682 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   13372	      9000 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   13479	      8851 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    1377	     87190 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    1353	     89124 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    1378	     88487 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    1380	     87492 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    1387	     87014 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    1371	     87223 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     136	    877975 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     135	    876799 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     136	    873319 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     132	    903082 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     135	    878899 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     133	    898676 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	  948648	       127.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	  968587	       134.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	  983203	       128.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	  964467	       139.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	  960416	       126.0 ns/op	       0 B/op	       0 allocs/op
