goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M1
                                 │ assets/BenchmarkAppend-expand.txt │    assets/BenchmarkAppend-for_index.txt     │   assets/BenchmarkAppend-for_prealloc.txt   │    assets/BenchmarkAppend-for.txt     │
                                 │              sec/op               │     sec/op       vs base                    │     sec/op       vs base                    │    sec/op     vs base                 │
Append/size=5000_subset=10000-8                         1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    4.000 ± 0%   +300.00% (p=0.000 n=10)
Append/size=10000_subset=10-8                           0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=10000_subset=100-8                          0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=10000_subset=500-8                          0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=10000_subset=1000-8                         0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=10000_subset=5000-8                         1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    1.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=10000_subset=10000-8                        1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    2.000 ± 0%   +100.00% (p=0.000 n=10)
geomean                                                            ²         1.000       ?                             1.000       ?                                  +130.19%                ²
¹ all samples are equal
² summaries must be >0 to compute geomean
