goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=5000_subset=50-10       	   59288	      2072 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   57470	      2083 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   57790	      2075 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   57532	      2073 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   57975	      2076 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   58033	      2073 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   31753	      3808 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   31405	      3823 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   31909	      3803 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   31356	      3821 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   31714	      3804 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   31292	      3870 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    6615	     16419 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    7980	     15615 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    7653	     15644 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    7179	     15633 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    7609	     15668 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    7974	     15833 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    3249	     37178 ns/op	  802817 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    3384	     39958 ns/op	  802818 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    3243	     36349 ns/op	  802817 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    3265	     36513 ns/op	  802817 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    3500	     36615 ns/op	  802816 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2886	     35805 ns/op	  802816 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	    1126	    102652 ns/op	 4005896 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	    1212	    123756 ns/op	 4005899 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     913	    136208 ns/op	 4005897 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     879	    137550 ns/op	 4005897 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     902	    134215 ns/op	 4005897 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     925	    131882 ns/op	 4005898 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     604	    192611 ns/op	 8003595 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     714	    167110 ns/op	 8003592 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     734	    160116 ns/op	 8003590 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     748	    155942 ns/op	 8003592 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     754	    156515 ns/op	 8003591 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     777	    171112 ns/op	 8003593 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  765549	       135.9 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  929751	       134.9 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  939548	       134.9 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  951846	       135.2 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  906885	       135.1 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  966896	       135.1 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  919480	       131.1 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  918366	       131.3 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  979857	       131.5 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  901802	       131.3 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  969990	       131.1 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  938232	       130.7 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	 1000000	       131.1 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  918366	       131.1 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  968880	       130.9 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	 1000000	       130.8 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  960639	       131.2 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	 1000000	       131.0 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  389636	       318.6 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  391575	       318.5 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  387028	       320.2 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  384676	       320.4 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  372010	       320.8 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  386535	       320.4 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  221163	       568.6 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  211581	       571.7 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  211086	       573.0 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  213790	       571.3 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  217120	       569.7 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  211071	       563.6 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   58375	      2103 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   56748	      2115 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   57208	      2112 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   55927	      2155 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   56173	      2135 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   55962	      2145 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   30808	      3869 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   30775	      3705 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   33548	      3591 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   32905	      3580 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   33397	      3585 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   33866	      3580 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    6936	     15486 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    7425	     15310 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    7514	     15398 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    7286	     15220 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    6873	     15366 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    7670	     15352 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    4212	     28370 ns/op	  802816 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    3729	     28486 ns/op	  802816 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    4142	     27541 ns/op	  802816 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    3726	     28250 ns/op	  802816 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    3937	     28410 ns/op	  802816 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    4005	     27701 ns/op	  802816 B/op	       1 allocs/op
